year,state,dem_two_party_share
2008,RI,0.64197921
2008,SC,0.45455681
2008,SD,0.457042928
2008,TN,0.423685282
2008,TX,0.44064433
2008,UT,0.354736386
2008,VA,0.531825844
2008,VT,0.688991817
2008,WA,0.587520268
2008,WI,0.570556782
2008,WV,0.433262562
2008,WY,0.334379766
2012,AK,0.426847095
2012,AL,0.387822103
2012,AR,0.378455946
2012,AZ,0.453866198
2012,CA,0.618728112
2012,CO,0.527480282
2012,CT,0.587725775
2012,CT,0.587725775
2012,DE,0.594469549
2012,FL,0.504424763
2012,GA,0.460433509
2012,HI,0.717038485
2012,IA,0.529593519
2012,ID,0.335786132
2012,IL,0.585776115
2012,IN,0.447996375
2012,KS,0.389396637
2012,KY,0.384572276
2012,LA,0.412530189
2012,MA,0.617856807
2012,MD,0.633217635
2012,ME,0.578599214
2012,MI,0.548007068
2012,MN,0.539412265
2012,MO,0.452214057
2012,MS,0.441981008
2012,MT,0.429657681
2012,NC,0.489660128
2012,ND,0.398887917
2012,NE,0.388706097
2012,NH,0.52833752
2012,NJ,0.589866752
2012,NM,0.552952642
2012,NV,0.53407509
2012,NY,0.642812212
2012,OH,0.515146111
2012,OK,0.332276803
2012,OR,0.562710838
2012,PA,0.527294489
2012,RI,0.64016746
2012,SC,0.446939126
2012,SD,0.407815009
2012,TN,0.396486887
2012,TX,0.419920921
2012,UT,0.253738111
2012,VA,0.519673767
2012,VT,0.682472588
2012,WA,0.576282983
2012,WI,0.535163824
2012,WV,0.363257024
2012,WY,0.28839366
2016,AK,0.416143453
2016,AL,0.356267767
2016,AR,0.357148623
2016,AZ,0.481099766
2016,CA,0.661265101
2016,CO,0.526833148
2016,CT,0.571415475
2016,DE,0.559986214
2016,FL,0.493811647
2016,GA,0.473387943
2016,HI,0.674413375
2016,IA,0.449364522
2016,ID,0.316898233
2016,IL,0.590192344
2016,IN,0.398830954
2016,KS,0.388885297
2016,KY,0.34329371
2016,LA,0.398282384
2016,MA,0.646512787
2016,MD,0.640162253
2016,ME,0.515891175
2016,MI,0.498823318
2016,MN,0.508318569
2016,MO,0.401814166
2016,MS,0.409101527
2016,MT,0.388903357
2016,NC,0.480962998
2016,ND,0.301907571
2016,NE,0.364523259
2016,NH,0.501970284
2016,NJ,0.572841901
2016,NM,0.546508725
2016,NV,0.512937094
2016,NY,0.617704974
2016,OH,0.457321364
2016,OK,0.306952628
2016,OR,0.561558635
2016,PA,0.496216166
2016,RI,0.583107041
2016,SC,0.425397574
2016,SD,0.340281419
2016,TN,0.363756304
2016,TX,0.452892426
2016,UT,0.376163418
2016,VA,0.528263763
2016,VT,0.651864263
2016,WA,0.587874641
2016,WI,0.49592011
2016,WV,0.278389477
2016,WY,0.242946804
1964,DC,0.855
1968,DC,0.8182000000000000
1972,DC,0.7836644591611480
1976,DC,0.8317709394742200
1980,DC,0.8481313703284260
1984,DC,0.8614670568055700
1988,DC,0.8525012893243940
1992,DC,0.9029229784510350
1996,DC,0.901195387707606
2000,DC,0.9048985230049940
2004,DC,0.9051969143321150
2008,DC,0.9340337407818970
2012,DC,0.9258580303493230
2016,DC,0.9569246972090570
