k,fighter,elo,match_id,date,weight_class
20,Alexander Yakovlev,1500.031193172959,2010,2015-04-04,Lightweight
20,Alexander Yakovlev,1510.0302953612734,1612,2016-01-30,Welterweight
20,Alexander Yakovlev,1499.7416804315114,1390,2016-07-23,Welterweight
20,Alexander Yakovlev,1489.7491154649867,1242,2016-11-19,Welterweight
20,Alexandra Albu,1510,2000,2015-04-11,Women's Strawweight
20,Alexandra Albu,1519.4167345713752,903,2017-07-29,Women's Strawweight
20,Alexandra Albu,1508.8584571150582,186,2019-02-17,Women's Strawweight
20,Alexandre Barros,1490,4109,2009-01-17,Welterweight
20,Alexandre Dantas,1490,4914,2000-09-22,Middleweight
20,Alexandre Dantas,1480.28774368332,4801,2003-02-28,Heavyweight
20,Alexandre Ferreira,1489.736339503453,3683,2010-11-13,Light Heavyweight
20,Alexandre Pantoja,1509.7205315838,1135,2017-01-28,Flyweight
20,Alexandre Pantoja,1519.4408251724506,926,2017-07-16,Flyweight
20,Alexandre Pantoja,1508.881856496667,683,2018-01-20,Flyweight
20,Alexandre Pantoja,1518.6262717912252,542,2018-05-19,Flyweight
20,Alexandre Pantoja,1528.090677614607,306,2018-11-17,Flyweight
20,Alexandre Pantoja,1537.2839200688597,93,2019-04-13,Flyweight
20,Alexis Davis,1510,2831,2013-06-15,Women's Bantamweight
20,Alexis Davis,1519.71225631668,2685,2013-11-06,Women's Bantamweight
20,Alexis Davis,1529.14549997581,2555,2014-02-22,Women's Bantamweight
20,Alexis Davis,1518.3085872825525,2366,2014-07-05,Women's Bantamweight
20,Alexis Davis,1527.7821110153932,1974,2015-04-25,Women's Bantamweight
20,Alexis Davis,1516.9841775558457,1200,2016-12-03,Women's Bantamweight
20,Alexis Davis,1526.495722652426,1029,2017-04-22,Women's Bantamweight
20,Alexis Davis,1535.4573297687664,725,2017-12-09,Women's Flyweight
20,Alexis Davis,1524.4403141059781,433,2018-07-28,Women's Flyweight
20,Alexis Davis,1513.7380233430624,121,2019-03-23,Women's Flyweight
20,Alexis Dufresne,1490,2363,2014-07-06,Catch Weight
20,Alexis Dufresne,1480.28774368332,2114,2015-01-03,Women's Bantamweight
20,Alfonso Alcarez,1500,4951,1999-09-24,Lightweight
20,Ali Bagautinov,1510,2750,2013-09-04,Flyweight
20,Ali Bagautinov,1519.71225631668,2665,2013-11-16,Flyweight
20,Ali Bagautinov,1529.14549997581,2576,2014-02-01,Flyweight
20,Ali Bagautinov,1518.3085872825525,2396,2014-06-14,Flyweight
20,Ali Bagautinov,1508.0935683468053,1752,2015-10-03,Flyweight
20,Ali Bagautinov,1517.860658853053,1455,2016-06-18,Flyweight
20,Ali Bagautinov,1507.347040133192,1238,2016-11-19,Flyweight
20,Alistair Overeem,1520.715546721802,3345,2011-12-30,Heavyweight
20,Alistair Overeem,1510.1200109085758,2973,2013-02-02,Heavyweight
20,Alistair Overeem,1499.5569161006508,2781,2013-08-17,Heavyweight
20,Alistair Overeem,1509.569669073507,2575,2014-02-01,Heavyweight
20,Alistair Overeem,1499.2943014895448,2274,2014-09-05,Heavyweight
20,Alistair Overeem,1509.0431553705114,2129,2014-12-13,Heavyweight
20,Alistair Overeem,1518.5038549853243,2028,2015-03-14,Heavyweight
20,Alistair Overeem,1527.971774206392,1643,2015-12-19,Heavyweight
20,Alistair Overeem,1537.4549658189537,1493,2016-05-08,Heavyweight
20,Alistair Overeem,1526.3810821481666,1318,2016-09-10,Heavyweight
20,Alistair Overeem,1535.359672683173,1085,2017-03-04,Heavyweight
20,Alistair Overeem,1544.085173454641,932,2017-07-08,Heavyweight
20,Alistair Overeem,1532.8230663790057,733,2017-12-02,Heavyweight
20,Alistair Overeem,1522.1982401355826,504,2018-06-09,Heavyweight
20,Alistair Overeem,1531.560191391693,288,2018-11-24,Heavyweight
20,Aljamain Sterling,1510,2557,2014-02-22,Bantamweight
20,Aljamain Sterling,1519.71225631668,2351,2014-07-16,Bantamweight
20,Aljamain Sterling,1529.14549997581,1987,2015-04-18,Bantamweight
20,Aljamain Sterling,1538.3085872825525,1684,2015-12-10,Bantamweight
20,Aljamain Sterling,1527.2104242043408,1479,2016-05-29,Bantamweight
20,Aljamain Sterling,1516.4288425808304,1130,2017-01-28,Bantamweight
20,Aljamain Sterling,1525.956334598785,1040,2017-04-15,Bantamweight
20,Aljamain Sterling,1535.210638046454,900,2017-07-29,Catch Weight
20,Aljamain Sterling,1524.2006498079877,721,2017-12-09,Bantamweight
20,Aljamain Sterling,1533.7923876788107,565,2018-04-21,Bantamweight
20,Aljamain Sterling,1543.1539248199047,392,2018-09-08,Bantamweight
20,Aljamain Sterling,1551.918203140646,181,2019-02-17,Bantamweight
20,Aljamain Sterling,1560.434901490982,7,2019-06-08,Bantamweight
20,Allan Goes,1490,4992,1998-05-15,Middleweight
20,Allan Zuniga,1490,482,2018-07-06,Lightweight
